Abeska	アベスカ	Abesková	アベスコヴァー
Linek	リネク	Linková	リンコヴァー
Lipka	リプカ	Lipková	リプコヴァー
Lipovský	リポフスキー	Lipovská	リポフスカー
Lipský	リプスキー	Lipská	リプスカー
Lipták	リプターク	Liptáková	リプターコヴァー
Liška	リシュカ	Lišková	リシュコヴァー
Lisý	リスィー	Lisá	リサー
Lněnička	ルニェニチュカ	Lněničková	ルニェニチュコヴァー
Lošťák	ロシュチャーク	Lošťáková	ロシュチャーコヴァー
Loučka	ロウチュカ	Loučková	ロウチュコヴァー
Louda	ロウダ	Loudová	ロウドヴァー
Loukota	ロウコタ	Loukotová	ロウコトヴァー
Ludvík	ルドヴィーク	Ludvíková	ルドヴィーコヴァー
Lukáč	ルカーチュ	Lukáčová	ルカーチョヴァー
Lukáš	ルカーシュ	Lukášová	ルカーショヴァー
Lukášek	ルカーシェク	Lukášková	ルカーシュコヴァー
Lukeš	ルケシュ	Lukešová	ルケショヴァー
Luňáček	ルニャーチェク	Luňáčková	ルニャーチュコヴァー
Luňák	ルニャーク	Luňáková	ルニャーコヴァー
Lupač	ルパチュ	Lupačová	ルパチョヴァー
Lyčka	リチュカ	Lyčková	リチュコヴァー
Lysák	リサーク	Lysáková	リサーコヴァー
Máca	マーツァ	Mácová	マーツォヴァー
Macák	マツァーク	Macáková	マツァーコヴァー
Mácal	マーツァル	Mácalová	マーツァロヴァー
Maceček	マツェチェク	Macečková	マツェチュコヴァー
Macek	マツェク	Macková	マツコヴァー
Mach	マフ	Machová	マホヴァー
Mácha	マーハ	Máchová	マーホヴァー
Macháč	マハーチュ	Macháčová	マハーチョヴァー
Machač	マハチュ	Machačová	マハチョヴァー
Macháček	マハーチェク	Macháčková	マハーチュコヴァー
Machala	マハラ	Machalová	マハロヴァー
Machálek	マハーレク	Machálková	マハールコヴァー
Machek	マヘク	Machková	マフコヴァー
Machovec	マホヴェツ	Machovcová	マホヴツォヴァー
Machů	マフー	Machů	マフー
Macík	マツィーク	Macíková	マツィーコヴァー
Macků	マツクー	Macků	マツクー
Maděra	マジェラ	Maděrová	マジェロヴァー
Mádr	マードル	Mádrová	マードロヴァー
Mahdal	マフダル	Mahdalová	マフダロヴァー
Makovec	マコヴェツ	Makovcová	マコヴツォヴァー
Makovička	マコヴィチュカ	Makovičková	マコヴィチュコヴァー
Makovský	マコフスキー	Makovská	マコフスカー
Makula	マクラ	Makulová	マクロヴァー
Malát	マラート	Malátová	マラートヴァー
Malec	マレツ	Malcová	マルツォヴァー
Maleček	マレチェク	Malečková	マレチュコヴァー
Málek	マーレク	Málková	マールコヴァー
Malík	マリーク	Malíková	マリーコヴァー
Mališ	マリシュ	Mališová	マリショヴァー
Malý	マリー	Malá	マラー
Maňák	マニャーク	Maňáková	マニャーコヴァー
Maňásek	マニャーセク	Maňásková	マニャースコヴァー
Mandík	マンディーク	Mandíková	マンディーコヴァー
Mandlík	マンドリーク	Mandlíková	マンドリーコヴァー
Mánek	マーネク	Mánková	マーンコヴァー
Mára	マーラ	Márová	マーロヴァー
Mareček	マレチェク	Marečková	マレチュコヴァー
Marek	マレク	Marková	マルコヴァー
Mareš	マレシュ	Marešová	マレショヴァー
Mařík	マジーク	Maříková	マジーコヴァー
Markovič	マルコヴィチュ	Markovičová	マルコヴィチョヴァー
Maroušek	マロウシェク	Maroušková	マロウシュコヴァー
Maršálek	マルシャーレク	Maršálková	マルシャールコヴァー
Maršík	マルシーク	Maršíková	マルシーコヴァー
Martinák	マルチナーク	Martináková	マルチナーコヴァー
Martinec	マルチネツ	Martincová	マルチンツォヴァー
Martinek	マルチネク	Martinková	マルチンコヴァー
Martínek	マルチーネク	Martínková	マルチーンコヴァー
Martiník	マルチニーク	Martiníková	マルチニーコヴァー
Martinovský	マルチノフスキー	Martinovská	マルチノフスカー
Martinů	マルチヌー	Martinů	マルチヌー
Martynek	マルティネク	Martynková	マルティンコヴァー
Maryška	マリシュカ	Maryšková	マリシュコヴァー
Máša	マーシャ	Mášová	マーショヴァー
Masařík	マサジーク	Masaříková	マサジーコヴァー
Mašek	マシェク	Mašková	マシュコヴァー
Mašín	マシーン	Mašínová	マシーノヴァー
Maška	マシュカ	Mašková	マシュコヴァー
Masopust	マソプスト	Masopustová	マソプストヴァー
Maštalíř	マシュタリーシュ	Maštalířová	マシュタリージョヴァー
Mastný	マストニー	Mastná	マストナー
Matěj	マチェイ	Matějová	マチェヨヴァー
Matějček	マチェイチェク	Matějčková	マチェイチュコヴァー
Matějíček	マチェイーチェク	Matějíčková	マチェイーチュコヴァー
Matějka	マチェイカ	Matějková	マチェイコヴァー
Matějovský	マチェヨフスキー	Matějovská	マチェヨフスカー
Matějů	マチェユー	Matějů	マチェユー
Mátl	マートル	Mátlová	マートロヴァー
Matouš	マトウシュ	Matoušová	マトウショヴァー
Matoušek	マトウシェク	Matoušková	マトウシュコヴァー
Matula	マトゥラ	Matulová	マトゥロヴァー
Matura	マトゥラ	Maturová	マトゥロヴァー
Matušek	マトゥシェク	Matušková	マトゥシュコヴァー
Matuška	マトゥシュカ	Matušková	マトゥシュコヴァー
Matyáš	マティアーシュ	Matyášová	マティアーショヴァー
Matys	マティス	Matysová	マティソヴァー
Matýsek	マティーセク	Matýsková	マティースコヴァー
Mazáč	マザーチュ	Mazáčová	マザーチョヴァー
Mazal	マザル	Mazalová	マザロヴァー
Mazanec	マザネツ	Mazancová	マザンツォヴァー
Mazánek	マザーネク	Mazánková	マザーンコヴァー
Mazur	マズル	Mazurová	マズロヴァー
Měchura	メフラ	Měchurová	メフロヴァー
Medek	メデク	Medková	メトコヴァー
Meduna	メドゥナ	Medunová	メドゥノヴァー
Mejzlík	メイズリーク	Mejzlíková	メイズリーコヴァー
Melichar	メリハル	Melicharová	メリハロヴァー
Melka	メルカ	Melková	メルコヴァー
Mencl	メンツル	Menclová	メンツロヴァー
Menšík	メンシーク	Menšíková	メンシーコヴァー
Měrka	メルカ	Měrková	メルコヴァー
Merta	メルタ	Mertová	メルトヴァー
Mertl	メルトル	Mertlová	メルトロヴァー
Metelka	メテルカ	Metelková	メテルコヴァー
Míča	ミーチャ	Míčová	ミーチョヴァー
Míček	ミーチェク	Míčková	ミーチュコヴァー
Michal	ミハル	Michalová	ミハロヴァー
Míchal	ミーハル	Míchalová	ミーハロヴァー
Michalčík	ミハルチーク	Michalčíková	ミハルチーコヴァー
Michalec	ミハレツ	Michalcová	ミハルツォヴァー
Michálek	ミハーレク	Michálková	ミハールコヴァー
Michalík	ミハリーク	Michalíková	ミハリーコヴァー
Michl	ミフル	Michlová	ミフロヴァー
Michna	ミフナ	Michnová	ミフノヴァー
Mička	ミチュカ	Mičková	ミチュコヴァー
Mika	ミカ	Miková	ミコヴァー
Míka	ミーカ	Míková	ミーコヴァー
Mikel	ミケル	Mikelová	ミケロヴァー
Mikeš	ミケシュ	Mikešová	ミケショヴァー
Mikeska	ミケスカ	Mikesková	ミケスコヴァー
Miklík	ミクリーク	Miklíková	ミクリーコヴァー
Miko	ミコ	Miková	ミコヴァー
Mikoláš	ミコラーシュ	Mikolášová	ミコラーショヴァー
Mikolášek	ミコラーシェク	Mikolášková	ミコラーシュコヴァー
Mikšík	ミクシーク	Mikšíková	ミクシーコヴァー
Mikšovský	ミクショフスキー	Mikšovská	ミクショフスカー
Mikula	ミクラ	Mikulová	ミクロヴァー
Mikuláš	ミクラーシュ	Mikulášová	ミクラーショヴァー
Mikulášek	ミクラーシェク	Mikulášková	ミクラーシュコヴァー
Mikulec	ミクレツ	Mikulcová	ミクルツォヴァー
Mikulecký	ミクレツキー	Mikulecká	ミクレツカー
Mikulenka	ミクレンカ	Mikulenková	ミクレンコヴァー
Mikulík	ミクリーク	Mikulíková	ミクリーコヴァー
Mikulka	ミクルカ	Mikulková	ミクルコヴァー
Mikuš	ミクシュ	Mikušová	ミクショヴァー
Milota	ミロタ	Milotová	ミロトヴァー
Minář	ミナーシュ	Minářová	ミナージョヴァー
Minarčík	ミナルチーク	Minarčíková	ミナルチーコヴァー
Minařík	ミナジーク	Minaříková	ミナジーコヴァー
Míšek	ミーシェク	Míšková	ミーシュコヴァー
Miškovský	ミシュコフスキー	Miškovská	ミシュコフスカー
Mitáš	ミターシュ	Mitášová	ミターショヴァー
Mizera	ミゼラ	Mizerová	ミゼロヴァー
Mládek	ムラーデク	Mládková	ムラートコヴァー
Mlčák	ムルチャーク	Mlčáková	ムルチャーコヴァー
Mlejnek	ムレイネク	Mlejnková	ムレインコヴァー
Mlynář	ムリナーシュ	Mlynářová	ムリナージョヴァー
Mlýnek	ムリーネク	Mlýnková	ムリーンコヴァー
Mohyla	モヒラ	Mohylová	モヒロヴァー
Mojžíš	モイジーシュ	Mojžíšová	モイジーショヴァー
Mokroš	モクロシュ	Mokrošová	モクロショヴァー
Mokrý	モクリー	Mokrá	モクラー
Molnár	モルナール	Molnárová	モルナーロヴァー
Moravčík	モラフチーク	Moravčíková	モラフチーコヴァー
Moravec	モラヴェツ	Moravcová	モラヴツォヴァー
Morávek	モラーヴェク	Morávková	モラーフコヴァー
Motyčka	モティチュカ	Motyčková	モティチュコヴァー
Moučka	モウチュカ	Moučková	モウチュコヴァー
Moudrý	モウドリー	Moudrá	モウドラー
Mráček	ムラーチェク	Mráčková	ムラーチュコヴァー
Mraček	ムラチェク	Mračková	ムラチュコヴァー
Mráz	ムラース	Mrázová	ムラーゾヴァー
Mrázek	ムラーゼク	Mrázková	ムラースコヴァー
Mrkva	ムルクヴァ	Mrkvová	ムルクヴォヴァー
Mrkvička	ムルクヴィチュカ	Mrkvičková	ムルクヴィチュコヴァー
Mucha	ムハ	Muchová	ムホヴァー
Mudra	ムドラ	Mudrová	ムドロヴァー
Munzar	ムンザル	Munzarová	ムンザロヴァー
Musil	ムシル	Musilová	ムシロヴァー
Musílek	ムシーレク	Musílková	ムシールコヴァー
Muška	ムシュカ	Mušková	ムシュコヴァー
Mužík	ムジーク	Mužíková	ムジーコヴァー
Mynář	ミナーシュ	Mynářová	ミナージョヴァー
Myšák	ミシャーク	Myšáková	ミシャーコヴァー
Myška	ミシュカ	Myšková	ミシュコヴァー
Myslivec	ミスリヴェツ	Myslivcová	ミスリヴツォヴァー
Mysliveček	ミスリヴェチェク	Myslivečková	ミスリヴェチュコヴァー
Nádvorník	ナードヴォルニーク	Nádvorníková	ナードヴォルニーコヴァー
Nakládal	ナクラーダル	Nakládalová	ナクラーダロヴァー
Nápravník	ナープラヴニーク	Nápravníková	ナープラヴニーコヴァー
Návrat	ナーヴラト	Návratová	ナーヴラトヴァー
Navrátil	ナヴラーチル	Navrátilová	ナヴラーチロヴァー
Nebeský	ネベスキー	Nebeská	ネベスカー
Nečas	ネチャス	Nečasová	ネチャソヴァー
Nechanický	ネハニツキー	Nechanická	ネハニツカー
Nechvátal	ネフヴァータル	Nechvátalová	ネフヴァータロヴァー
Nedbal	ネドバル	Nedbalová	ネドバロヴァー
Neděla	ネジェラ	Nedělová	ネジェロヴァー
Nedoma	ネドマ	Nedomová	ネドモヴァー
Nedvěd	ネドヴェト	Nedvědová	ネドヴェドヴァー
Nekola	ネコラ	Nekolová	ネコロヴァー
Němec	ニェメツ	Němcová	ニェムツォヴァー
Němeček	ニェメチェク	Němečková	ニェメチュコヴァー
Nepraš	ネプラシュ	Neprašová	ネプラショヴァー
Nerad	ネラト	Neradová	ネラドヴァー
Nešpor	ネシュポル	Nešporová	ネシュポロヴァー
Nesvadba	ネスヴァドバ	Nesvadbová	ネスヴァドボヴァー
Netík	ネチーク	Netíková	ネチーコヴァー
Netolický	ネトリツキー	Netolická	ネトリツカー
Netušil	ネトゥシル	Netušilová	ネトゥシロヴァー
Neužil	ネウジル	Neužilová	ネウジロヴァー
Nezbeda	ネズベダ	Nezbedová	ネズベドヴァー
Nezval	ネズヴァル	Nezvalová	ネズヴァロヴァー
Nikl	ニクル	Niklová	ニクロヴァー
Nohejl	ノヘイル	Nohejlová	ノヘイロヴァー
Nosek	ノセク	Nosková	ノスコヴァー
Nováček	ノヴァーチェク	Nováčková	ノヴァーチュコヴァー
Novaček	ノヴァチェク	Novačková	ノヴァチュコヴァー
Novák	ノヴァーク	Nováková	ノヴァーコヴァー
Novosád	ノヴォサート	Novosádová	ノヴォサードヴァー
Novotný	ノヴォトニー	Novotná	ノヴォトナー
Nový	ノヴィー	Nová	ノヴァー
Nožička	ノジチュカ	Nožičková	ノジチュコヴァー
Nykl	ニクル	Nyklová	ニクロヴァー
Nývlt	ニーヴルト	Nývltová	ニーヴルトヴァー
Obdržálek	オブドルジャーレク	Obdržálková	オブドルジャールコヴァー
Obrovský	オブロフスキー	Obrovská	オブロフスカー
Očenášek	オチェナーシェク	Očenášková	オチェナーシュコヴァー
Odložil	オドロジル	Odložilová	オドロジロヴァー
Odstrčil	オツトルチル	Odstrčilová	オツトルチロヴァー
Odvárka	オドヴァールカ	Odvárková	オドヴァールコヴァー
Oláh	オラーフ	Oláhová	オラーホヴァー
Olejník	オレイニーク	Olejníková	オレイニーコヴァー
Olšák	オルシャーク	Olšáková	オルシャーコヴァー
Onderka	オンデルカ	Onderková	オンデルコヴァー
Ondra	オンドラ	Ondrová	オンドロヴァー
Ondráček	オンドラーチェク	Ondráčková	オンドラーチュコヴァー
Ondrák	オンドラーク	Ondráková	オンドラーコヴァー
Ondrášek	オンドラーシェク	Ondrášková	オンドラーシュコヴァー
Ondříček	オンドジーチェク	Ondříčková	オンドジーチュコヴァー
Ondroušek	オンドロウシェク	Ondroušková	オンドロウシュコヴァー
Ondruch	オンドルフ	Ondruchová	オンドルホヴァー
Ondruš	オンドルシュ	Ondrušová	オンドルショヴァー
Opatrný	オパトルニー	Opatrná	オパトルナー
Opletal	オプレタル	Opletalová	オプレタロヴァー
Opluštil	オプルシュチル	Opluštilová	オプルシュチロヴァー
Opočenský	オポチェンスキー	Opočenská	オポチェンスカー
Oravec	オラヴェツ	Oravcová	オラヴツォヴァー
Orel	オレル	Orelová	オレロヴァー
Orság	オルサーク	Orságová	オルサーゴヴァー
Osička	オシチュカ	Osičková	オシチュコヴァー
Ošťádal	オシュチャーダル	Ošťádalová	オシュチャーダロヴァー
Ostrčil	オストルチル	Ostrčilová	オストルチロヴァー
Otáhal	オターハル	Otáhalová	オターハロヴァー
Pacák	パツァーク	Pacáková	パツァーコヴァー
Pačes	パチェス	Pačesová	パチェソヴァー
Pagáč	パガーチュ	Pagáčová	パガーチョヴァー
Pajer	パイエル	Pajerová	パイエロヴァー
Palacký	パラツキー	Palacká	パラツカー
Palán	パラーン	Palánová	パラーノヴァー
Palát	パラート	Palátová	パラートヴァー
Paleček	パレチェク	Palečková	パレチュコヴァー
Páleníček	パーレニーチェク	Páleníčková	パーレニーチュコヴァー
Páleník	パーレニーク	Páleníková	パーレニーコヴァー
Palička	パリチュカ	Paličková	パリチュコヴァー
Pálka	パールカ	Pálková	パールコヴァー
Panáček	パナーチェク	Panáčková	パナーチュコヴァー
Pánek	パーネク	Pánková	パーンコヴァー
Papež	パペシュ	Papežová	パペジョヴァー
Papoušek	パポウシェク	Papoušková	パポウシュコヴァー
Páral	パーラル	Páralová	パーラロヴァー
Pařík	パジーク	Paříková	パジーコヴァー
Pařízek	パジーゼク	Pařízková	パジースコヴァー
Paroubek	パロウベク	Paroubková	パロウプコヴァー
Pašek	パシェク	Pašková	パシュコヴァー
Paseka	パセカ	Paseková	パセコヴァー
Pastorek	パストレク	Pastorková	パストルコヴァー
Pastrňák	パストルニャーク	Pastrňáková	パストルニャーコヴァー
Pastyřík	パスティジーク	Pastyříková	パスティジーコヴァー
Paták	パターク	Patáková	パターコヴァー
Pátek	パーテク	Pátková	パートコヴァー
Patka	パトカ	Patková	パトコヴァー
Patočka	パトチュカ	Patočková	パトチュコヴァー
Paulík	パウリーク	Paulíková	パウリーコヴァー
Pávek	パーヴェク	Pávková	パーフコヴァー
Pavel	パヴェル	Pavelová	パヴェロヴァー
Pavelec	パヴェレツ	Pavelcová	パヴェルツォヴァー
Pavelek	パヴェレク	Pavelková	パヴェルコヴァー
Pavelka	パヴェルカ	Pavelková	パヴェルコヴァー
Pavlas	パヴラス	Pavlasová	パヴラソヴァー
Pavlásek	パヴラーセク	Pavlásková	パヴラースコヴァー
Pavlát	パヴラート	Pavlátová	パヴラートヴァー
Pavlica	パヴリツァ	Pavlicová	パヴリツォヴァー
Pavlíček	パヴリーチェク	Pavlíčková	パヴリーチュコヴァー
Pavlík	パヴリーク	Pavlíková	パヴリーコヴァー
Pavliš	パヴリシュ	Pavlišová	パヴリショヴァー
Pavlovič	パヴロヴィチュ	Pavlovičová	パヴロヴィチョヴァー
Pavlovský	パヴロフスキー	Pavlovská	パヴロフスカー
Pavlů	パヴルー	Pavlů	パヴルー
Pazderka	パズデルカ	Pazderková	パズデルコヴァー
Pazourek	パゾウレク	Pazourková	パゾウルコヴァー
Pažout	パジョウト	Pažoutová	パジョウトヴァー
Pečenka	ペチェンカ	Pečenková	ペチェンコヴァー
Pecha	ペハ	Pechová	ペホヴァー
Pecháček	ペハーチェク	Pecháčková	ペハーチュコヴァー
Pecina	ペツィナ	Pecinová	ペツィノヴァー
Pečinka	ペチンカ	Pečinková	ペチンコヴァー
Pecka	ペツカ	Pecková	ペツコヴァー
Pejša	ペイシャ	Pejšová	ペイショヴァー
Pekař	ペカシュ	Pekařová	ペカジョヴァー
Pekárek	ペカーレク	Pekárková	ペカールコヴァー
Pěkný	ピェクニー	Pěkná	ピェクナー
Pelán	ペラーン	Pelánová	ペラーノヴァー
Pelc	ペルツ	Pelcová	ペルツォヴァー
Pelikán	ペリカーン	Pelikánová	ペリカーノヴァー
Pelíšek	ペリーシェク	Pelíšková	ペリーシュコヴァー
Peňáz	ペニャース	Peňázová	ペニャーゾヴァー
Pěnička	ピェニチュカ	Pěničková	ピェニチュコヴァー
Pěnkava	ピェンカヴァ	Pěnkavová	ピェンカヴォヴァー
Peřina	ペジナ	Peřinová	ペジノヴァー
Pernica	ペルニツァ	Pernicová	ペルニツォヴァー
Peroutka	ペロウトカ	Peroutková	ペロウトコヴァー
Pešák	ペシャーク	Pešáková	ペシャーコヴァー
Pešek	ペシェク	Pešková	ペシュコヴァー
Peška	ペシュカ	Pešková	ペシュコヴァー
Pešl	ペシュル	Pešlová	ペシュロヴァー
Pešta	ペシュタ	Peštová	ペシュトヴァー
Peták	ペターク	Petáková	ペターコヴァー
Petera	ペテラ	Peterová	ペテロヴァー
Peterek	ペテレク	Peterková	ペテルコヴァー
Peterka	ペテルカ	Peterková	ペテルコヴァー
Petr	ペトル	Petrová	ペトロヴァー
Petráček	ペトラーチェク	Petráčková	ペトラーチュコヴァー
Petrák	ペトラーク	Petráková	ペトラーコヴァー
Petráň	ペトラーン	Petráňová	ペトラーニョヴァー
Petráš	ペトラーシュ	Petrášová	ペトラーショヴァー
Petrásek	ペトラーセク	Petrásková	ペトラースコヴァー
Petrášek	ペトラーシェク	Petrášková	ペトラーシュコヴァー
Petřek	ペッチェク	Petřková	ペッチュコヴァー
Petříček	ペッチーチェク	Petříčková	ペッチーチュコヴァー
Petřík	ペッチーク	Petříková	ペッチーコヴァー
Petrlík	ペトルリーク	Petrlíková	ペトルリーコヴァー
Petrů	ペトルー	Petrů	ペトルー
Petržela	ペトルジェラ	Petrželová	ペトルジェロヴァー
Petrželka	ペトルジェルカ	Petrželková	ペトルジェルコヴァー
Picek	ピツェク	Picková	ピツコヴァー
Pícha	ピーハ	Píchová	ピーホヴァー
Pilař	ピラシュ	Pilařová	ピラジョヴァー
Pilát	ピラート	Pilátová	ピラートヴァー
Pilný	ピルニー	Pilná	ピルナー
Pinkas	ピンカス	Pinkasová	ピンカソヴァー
Pinkava	ピンカヴァ	Pinkavová	ピンカヴォヴァー
Piňos	ピニョス	Piňosová	ピニョソヴァー
Pírek	ピーレク	Pírková	ピールコヴァー
Píša	ピーシャ	Píšová	ピーショヴァー
Piskač	ピスカチュ	Piskačová	ピスカチョヴァー
Pišna	ピシュナ	Pišnová	ピシュノヴァー
Pištěk	ピシュチェク	Pištěková	ピシュチェコヴァー
Piták	ピターク	Pitáková	ピターコヴァー
Pivoňka	ピヴォンカ	Pivoňková	ピヴォンコヴァー
Plaček	プラチェク	Plačková	プラチュコヴァー
Plachý	プラヒー	Plachá	プラハー
Plánička	プラーニチュカ	Pláničková	プラーニチュコヴァー
Plášek	プラーシェク	Plášková	プラーシュコヴァー
Plašil	プラシル	Plašilová	プラシロヴァー
Plášil	プラーシル	Plášilová	プラーシロヴァー
Plch	プルフ	Plchová	プルホヴァー
Plecháč	プレハーチュ	Plecháčová	プレハーチョヴァー
Plechatý	プレハティー	Plechatá	プレハター
Plecitý	プレツィティー	Plecitá	プレツィター
Pleskač	プレスカチュ	Pleskačová	プレスカチョヴァー
Plesník	プレスニーク	Plesníková	プレスニーコヴァー
Pleva	プレヴァ	Plevová	プレヴォヴァー
Plíhal	プリーハル	Plíhalová	プリーハロヴァー
Plíšek	プリーシェク	Plíšková	プリーシュコヴァー
Plíva	プリーヴァ	Plívová	プリーヴォヴァー
Plšek	プルシェク	Plšková	プルシュコヴァー
Pluhař	プルハシュ	Pluhařová	プルハジョヴァー
Plzák	プルザーク	Plzáková	プルザーコヴァー
Poborský	ポボルスキー	Poborská	ポボルスカー
Pochylý	ポヒリー	Pochylá	ポヒラー
Podaný	ポダニー	Podaná	ポダナー
Podešva	ポデシュヴァ	Podešvová	ポデシュヴォヴァー
Podhorský	ポドホルスキー	Podhorská	ポドホルスカー
Podroužek	ポドロウジェク	Podroužková	ポドロウシュコヴァー
Podzimek	ポドズィメク	Podzimková	ポドズィムコヴァー
Pohanka	ポハンカ	Pohanková	ポハンコヴァー
Pohl	ポフル	Pohlová	ポフロヴァー
Pokorný	ポコルニー	Pokorná	ポコルナー
Poláček	ポラーチェク	Poláčková	ポラーチュコヴァー
Polách	ポラーフ	Poláchová	ポラーホヴァー
Polák	ポラーク	Poláková	ポラーコヴァー
Polanský	ポランスキー	Polanská	ポランスカー
Polášek	ポラーシェク	Polášková	ポラーシュコヴァー
Poledník	ポレドニーク	Poledníková	ポレドニーコヴァー
Polínek	ポリーネク	Polínková	ポリーンコヴァー
Polívka	ポリーフカ	Polívková	ポリーフコヴァー
Pololáník	ポロラーニーク	Pololáníková	ポロラーニーコヴァー
Pompa	ポンパ	Pompová	ポンポヴァー
Popek	ポペク	Popková	ポプコヴァー
Popelka	ポペルカ	Popelková	ポペルコヴァー
Popovič	ポポヴィチュ	Popovičová	ポポヴィチョヴァー
Pořízka	ポジースカ	Pořízková	ポジースコヴァー
Poslušný	ポスルシュニー	Poslušná	ポスルシュナー
Pospíchal	ポスピーハル	Pospíchalová	ポスピーハロヴァー
Pospíšil	ポスピーシル	Pospíšilová	ポスピーシロヴァー
Poštulka	ポシュトゥルカ	Poštulková	ポシュトゥルコヴァー
Potůček	ポトゥーチェク	Potůčková	ポトゥーチュコヴァー
Pouzar	ポウザル	Pouzarová	ポウザロヴァー
Povolný	ポヴォルニー	Povolná	ポヴォルナー
Prachař	プラハシュ	Prachařová	プラハジョヴァー
Prášek	プラーシェク	Prášková	プラーシュコヴァー
Prášil	プラーシル	Prášilová	プラーシロヴァー
Pražák	プラジャーク	Pražáková	プラジャーコヴァー
Pražan	プラジャン	Pražanová	プラジャノヴァー
Prchlík	プルフリーク	Prchlíková	プルフリーコヴァー
Přecechtěl	プシェツェフチェル	Přecechtělová	プシェツェフチェロヴァー
Přibyl	プシビル	Přibylová	プシビロヴァー
Přichystal	プシヒスタル	Přichystalová	プシヒスタロヴァー
Přidal	プシダル	Přidalová	プシダロヴァー
Příhoda	プシーホダ	Příhodová	プシーホドヴァー
Přikryl	プシクリル	Přikrylová	プシクリロヴァー
Princ	プリンツ	Princová	プリンツォヴァー
Procházka	プロハースカ	Procházková	プロハースコヴァー
Prokeš	プロケシュ	Prokešová	プロケショヴァー
Prokopec	プロコペツ	Prokopcová	プロコプツォヴァー
Prokš	プロクシュ	Prokšová	プロクショヴァー
Prokůpek	プロクーペク	Prokůpková	プロクープコヴァー
Prošek	プロシェク	Prošková	プロシュコヴァー
Prouza	プロウザ	Prouzová	プロウゾヴァー
Provazník	プロヴァズニーク	Provazníková	プロヴァズニーコヴァー
Průcha	プルーハ	Průchová	プルーホヴァー
Průša	プルーシャ	Průšová	プルーショヴァー
Pšenička	プシェニチュカ	Pšeničková	プシェニチュコヴァー
Ptáček	プターチェク	Ptáčková	プターチュコヴァー
Ptáčník	プターチュニーク	Ptáčníková	プターチュニーコヴァー
Pták	プターク	Ptáková	プターコヴァー
Pudil	プディル	Pudilová	プディロヴァー
Půlpán	プールパーン	Půlpánová	プールパーノヴァー
Punčochář	プンチョハーシュ	Punčochářová	プンチョハージョヴァー
Pustějovský	プスチェヨフスキー	Pustějovská	プスチェヨフスカー
Pustka	プストカ	Pustková	プストコヴァー
Pýcha	ピーハ	Pýchová	ピーホヴァー
Rác	ラーツ	Rácová	ラーツォヴァー
Racek	ラツェク	Racková	ラツコヴァー
Ráček	ラーチェク	Ráčková	ラーチュコヴァー
Rak	ラク	Raková	ラコヴァー
Rambousek	ランボウセク	Rambousková	ランボウスコヴァー
Raška	ラシュカ	Rašková	ラシュコヴァー
Raszka	ラッスカ	Raszková	ラッスコヴァー
Rataj	ラタイ	Ratajová	ラタヨヴァー
Rathouský	ラドホウスキー	Rathouská	ラドホウスカー
Řeháček	ジェハーチェク	Řeháčková	ジェハーチュコヴァー
Řehák	ジェハーク	Řeháková	ジェハーコヴァー
Řehoř	ジェホシュ	Řehořová	ジェホジョヴァー
Rejcha	レイハ	Rejchová	レイホヴァー
Rejsek	レイセク	Rejsková	レイスコヴァー
Rejzek	レイゼク	Rejzková	レイスコヴァー
Remeš	レメシュ	Remešová	レメショヴァー
Řepa	ジェパ	Řepová	ジェポヴァー
Řepka	ジェプカ	Řepková	ジェプコヴァー
Řeřicha	ジェジハ	Řeřichová	ジェジホヴァー
Řežábek	ジェジャーベク	Řežábková	ジェジャープコヴァー
Řezáč	ジェザーチュ	Řezáčová	ジェザーチョヴァー
Rezek	レゼク	Rezková	レスコヴァー
Řezníček	ジェズニーチェク	Řezníčková	ジェズニーチュコヴァー
Řezník	ジェズニーク	Řezníková	ジェズニーコヴァー
Režný	レジュニー	Režná	レジュナー
Řídký	ジートキー	Řídká	ジートカー
Říha	ジーハ	Říhová	ジーホヴァー
Řihák	ジハーク	Řiháková	ジハーコヴァー
Řípa	ジーパ	Řípová	ジーポヴァー
Roček	ロチェク	Ročková	ロチュコヴァー
Roháč	ロハーチュ	Roháčová	ロハーチョヴァー
Roháček	ロハーチェク	Roháčková	ロハーチュコヴァー
Rohlík	ロフリーク	Rohlíková	ロフリーコヴァー
Rokos	ロコス	Rokosová	ロコソヴァー
Rosecký	ロセツキー	Rosecká	ロセツカー
Roubal	ロウバル	Roubalová	ロウバロヴァー
Roubíček	ロウビーチェク	Roubíčková	ロウビーチュコヴァー
Roučka	ロウチュカ	Roučková	ロウチュコヴァー
Roušar	ロウシャル	Roušarová	ロウシャロヴァー
Rousek	ロウセク	Rousková	ロウスコヴァー
Rožnovský	ロジュノフスキー	Rožnovská	ロジュノフスカー
Rubáš	ルバーシュ	Rubášová	ルバーショヴァー
Rubeš	ルベシュ	Rubešová	ルベショヴァー
Ručka	ルチュカ	Ručková	ルチュコヴァー
Rusek	ルセク	Rusková	ルスコヴァー
Rusňák	ルスニャーク	Rusňáková	ルスニャーコヴァー
Růžek	ルージェク	Růžková	ルーシュコヴァー
Ružička	ルジチュカ	Ružičková	ルジチュコヴァー
Růžička	ルージチュカ	Růžičková	ルージチュコヴァー
Ryba	リバ	Rybová	リボヴァー
Rybák	リバーク	Rybáková	リバーコヴァー
